timestamp,balance,equity,open_trades
2026-05-01 00:00:00+00:00,10000.0,10000.0,0
2026-05-01 00:15:00+00:00,10000.0,10000.0,0
2026-05-01 00:30:00+00:00,10000.0,10000.0,0
2026-05-01 00:45:00+00:00,10000.0,10000.0,0
2026-05-01 01:00:00+00:00,10000.0,10000.0,0
2026-05-01 01:15:00+00:00,10000.0,10000.0,0
2026-05-01 01:30:00+00:00,10000.0,10000.0,0
2026-05-01 01:45:00+00:00,10000.0,10000.0,0
2026-05-01 02:00:00+00:00,10000.0,10000.0,0
2026-05-01 02:15:00+00:00,10000.0,10000.0,0
2026-05-01 02:30:00+00:00,10000.0,10000.0,0
2026-05-01 02:45:00+00:00,10000.0,10000.0,0
2026-05-01 03:00:00+00:00,10000.0,10000.0,0
2026-05-01 03:15:00+00:00,10000.0,10000.0,0
2026-05-01 03:30:00+00:00,10000.0,10000.0,0
2026-05-01 03:45:00+00:00,10000.0,10000.0,0
2026-05-01 04:00:00+00:00,10000.0,10000.0,0
2026-05-01 04:15:00+00:00,10000.0,10000.0,0
2026-05-01 04:30:00+00:00,10000.0,10000.0,0
2026-05-01 04:45:00+00:00,10000.0,10000.0,0
2026-05-01 05:00:00+00:00,10000.0,10000.0,0
2026-05-01 05:15:00+00:00,10000.0,10000.0,0
2026-05-01 05:30:00+00:00,10000.0,10000.0,0
2026-05-01 05:45:00+00:00,10000.0,10000.0,0
2026-05-01 06:00:00+00:00,10000.0,10000.0,0
2026-05-01 06:15:00+00:00,10000.0,10000.0,0
2026-05-01 06:30:00+00:00,10000.0,10000.0,0
2026-05-01 06:45:00+00:00,10000.0,10000.0,0
2026-05-01 07:00:00+00:00,10000.0,10000.0,1
2026-05-01 07:15:00+00:00,10000.0,9981.719917342236,1
2026-05-01 07:30:00+00:00,10000.0,9986.488634557303,1
2026-05-01 07:45:00+00:00,10000.0,10003.179144810047,1
2026-05-01 08:00:00+00:00,10000.0,10019.869655062788,2
2026-05-01 08:15:00+00:00,10012.213256999796,10025.752135119123,1
2026-05-01 08:30:00+00:00,10012.213256999796,10009.751642796282,1
2026-05-01 08:45:00+00:00,10012.213256999796,10019.598099610339,1
2026-05-01 09:00:00+00:00,10012.213256999796,10006.67462504189,1
2026-05-01 09:15:00+00:00,10012.213256999796,9990.674132719048,2
2026-05-01 09:30:00+00:00,10012.213256999796,9983.826939755158,4
2026-05-01 09:45:00+00:00,9941.933332272441,9923.895898311794,4
2026-05-01 10:00:00+00:00,9909.863220400532,9872.48901415963,5
2026-05-01 10:15:00+00:00,9909.863220400532,9940.243543366018,5
2026-05-01 10:30:00+00:00,9909.863220400532,9911.671531320913,5
2026-05-01 10:45:00+00:00,9909.863220400532,9961.149744644528,5
2026-05-01 11:00:00+00:00,9938.694499929858,9952.113809905353,3
2026-05-01 11:15:00+00:00,9946.392261044346,9938.869358243624,2
2026-05-01 11:30:00+00:00,9946.392261044346,9948.768215767062,3
2026-05-01 11:45:00+00:00,9946.392261044346,9962.27166584652,3
2026-05-01 12:00:00+00:00,9968.404300939283,9972.377401438092,1
2026-05-01 12:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 12:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 12:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 13:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 13:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 13:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 13:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 14:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 14:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 14:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 14:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 15:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 15:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 15:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 15:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 16:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 16:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 16:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 16:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 17:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 17:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 17:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 17:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 18:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 18:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 18:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 18:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 19:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 19:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 19:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 19:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 20:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 20:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 20:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 20:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 21:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 21:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 21:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 21:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 22:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 22:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 22:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 22:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 23:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 23:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 23:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-01 23:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 00:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 00:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 00:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 00:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 01:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 01:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 01:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 01:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 02:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 02:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 02:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 02:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 03:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 03:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 03:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 03:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 04:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 04:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 04:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 04:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 05:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 05:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 05:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 05:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 06:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 06:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 06:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 06:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 07:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 07:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 07:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 07:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 08:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 08:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 08:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 08:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 09:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 09:15:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 09:30:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 09:45:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 10:00:00+00:00,9978.077982791146,9978.077982791146,0
2026-05-02 10:15:00+00:00,9978.077982791146,9978.077982791146,2
2026-05-02 10:30:00+00:00,9978.077982791146,9978.087614060985,2
2026-05-02 10:45:00+00:00,9978.077982791146,9978.874174014618,2
2026-05-02 11:00:00+00:00,9978.077982791146,9966.957528633204,2
2026-05-02 11:15:00+00:00,9977.85582228226,9976.873999426387,1
2026-05-02 11:30:00+00:00,9977.85582228226,9972.19590228959,1
2026-05-02 11:45:00+00:00,9951.095295836232,9951.095295836232,1
2026-05-02 12:00:00+00:00,9951.095295836232,9951.873803037284,1
2026-05-02 12:15:00+00:00,9951.095295836232,9959.399372647445,1
2026-05-02 12:30:00+00:00,9951.095295836232,9958.246028645888,1
2026-05-02 12:45:00+00:00,9951.095295836232,9955.189667041761,1
2026-05-02 13:00:00+00:00,9952.599630409328,9952.599630409328,0
2026-05-02 13:15:00+00:00,9952.599630409328,9952.599630409328,0
2026-05-02 13:30:00+00:00,9952.599630409328,9952.599630409328,0
2026-05-02 13:45:00+00:00,9952.599630409328,9952.599630409328,0
2026-05-02 14:00:00+00:00,9952.599630409328,9952.599630409328,0
2026-05-02 14:15:00+00:00,9952.599630409328,9952.599630409328,0
