id,symbol,timeframe,data_type,rows_existing,rows_fetched,rows_final,gaps_found,status,issues,fetched_at
62148,XRPUSDT,1m,ohlcv,58959,6,58962,0,ok,"",2026-07-20 08:55:53.09318+00
62147,DOGEUSDT,5m,ohlcv,373336,21,373354,0,ok,"",2026-07-20 08:54:51.714878+00
62146,SOLUSDT,1m,ohlcv,58954,10,58961,0,ok,"",2026-07-20 08:54:44.455769+00
62145,ETHUSDT,1m,ohlcv,55767,7,55771,0,ok,"",2026-07-20 08:53:34.342429+00
62144,BTCUSDT,1m,ohlcv,58957,7,58961,0,ok,"",2026-07-20 08:52:29.88687+00
62143,DOGEUSDT,1m,ohlcv,58954,7,58958,0,ok,"",2026-07-20 08:51:20.812674+00
62142,BNBUSDT,1m,ohlcv,58953,6,58956,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 08:50:07.532907+00
62141,XRPUSDT,1m,ohlcv,58952,6,58955,0,ok,"",2026-07-20 08:48:52.758533+00
62140,SOLUSDT,1m,ohlcv,58947,10,58954,0,ok,"",2026-07-20 08:47:46.155594+00
62139,BNBUSDT,5m,ohlcv,373348,7,373352,0,quarantined,Data is stale: last candle 12 min ago,2026-07-20 08:47:05.308653+00
62138,ETHUSDT,1m,ohlcv,55760,7,55764,0,ok,"",2026-07-20 08:46:37.438421+00
62137,BTCUSDT,1m,ohlcv,58950,7,58954,0,ok,"",2026-07-20 08:45:33.741723+00
62136,DOGEUSDT,1m,ohlcv,58947,7,58951,0,ok,"",2026-07-20 08:44:22.423876+00
62135,BNBUSDT,1m,ohlcv,58946,7,58950,0,ok,"",2026-07-20 08:43:11.086879+00
62134,XRPUSDT,1m,ohlcv,58929,22,58948,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 08:42:02.307983+00
62133,SOLUSDT,1m,ohlcv,58928,22,58947,0,ok,"",2026-07-20 08:40:54.264854+00
62132,XRPUSDT,5m,ohlcv,373330,23,373350,0,quarantined,Data is stale: last candle 15 min ago,2026-07-20 08:39:58.290767+00
62131,ETHUSDT,1m,ohlcv,55752,8,55757,0,ok,"",2026-07-20 08:39:44.826252+00
62130,BTCUSDT,1m,ohlcv,58931,19,58947,0,ok,"",2026-07-20 08:38:31.412753+00
62129,DOGEUSDT,1m,ohlcv,58928,18,58943,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 08:37:01.15775+00
62128,BNBUSDT,1m,ohlcv,58936,8,58941,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 08:35:07.937915+00
62127,XRPUSDT,1m,ohlcv,58929,13,58939,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 08:33:19.291576+00
62126,SOLUSDT,1m,ohlcv,58928,12,58937,0,quarantined,Data is stale: last candle 3 min ago,2026-07-20 08:31:50.621517+00
62125,SOLUSDT,5m,ohlcv,373332,20,373349,0,ok,"",2026-07-20 08:29:53.022125+00
62124,ETHUSDT,1m,ohlcv,55738,12,55747,0,ok,"",2026-07-20 08:29:49.653127+00
62123,BTCUSDT,1m,ohlcv,58931,8,58936,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 08:28:15.634568+00
62122,DOGEUSDT,1m,ohlcv,58928,7,58932,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 08:26:26.216135+00
62121,BNBUSDT,1m,ohlcv,58927,6,58930,0,quarantined,Data is stale: last candle 3 min ago,2026-07-20 08:24:38.379931+00
62120,XRPUSDT,1m,ohlcv,58926,6,58929,0,ok,"",2026-07-20 08:22:57.470328+00
62119,SOLUSDT,1m,ohlcv,58916,15,58928,0,ok,"",2026-07-20 08:21:43.59883+00
62118,ETHUSDT,1m,ohlcv,55734,7,55738,0,ok,"",2026-07-20 08:20:37.84085+00
62117,ETHUSDT,5m,ohlcv,373331,19,373347,0,quarantined,Data is stale: last candle 10 min ago,2026-07-20 08:20:13.5867+00
62116,BTCUSDT,1m,ohlcv,58920,11,58928,0,ok,"",2026-07-20 08:19:33.508092+00
62115,DOGEUSDT,1m,ohlcv,58920,8,58925,0,ok,"",2026-07-20 08:18:26.116509+00
62114,BNBUSDT,1m,ohlcv,58915,11,58923,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 08:17:09.197342+00
62113,XRPUSDT,1m,ohlcv,58917,8,58922,0,ok,"",2026-07-20 08:15:33.794737+00
62112,SOLUSDT,1m,ohlcv,58916,7,58920,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 08:14:09.291581+00
62111,ETHUSDT,1m,ohlcv,55726,7,55730,0,ok,"",2026-07-20 08:12:55.461726+00
62110,BTCUSDT,5m,ohlcv,373326,22,373345,0,quarantined,Data is stale: last candle 12 min ago,2026-07-20 08:11:55.904491+00
62109,BTCUSDT,1m,ohlcv,58913,10,58920,0,ok,"",2026-07-20 08:11:23.098926+00
62108,DOGEUSDT,1m,ohlcv,58912,7,58916,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 08:10:06.375419+00
62107,BNBUSDT,1m,ohlcv,58911,7,58915,0,ok,"",2026-07-20 08:08:54.273095+00
62106,XRPUSDT,1m,ohlcv,58910,7,58914,0,ok,"",2026-07-20 08:07:50.297323+00
62105,SOLUSDT,1m,ohlcv,58909,7,58913,0,ok,"",2026-07-20 08:06:12.356086+00
62104,ETHUSDT,1m,ohlcv,55705,21,55723,0,ok,"",2026-07-20 08:05:08.383346+00
62103,DOGEUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-20 08:04:10.02314+00
62102,BNBUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-20 08:04:08.005257+00
62101,BTCUSDT,1m,ohlcv,58908,8,58913,0,ok,"",2026-07-20 08:04:07.771802+00
62100,XRPUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-20 08:04:06.04477+00
62099,SOLUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-20 08:04:04.011715+00
62098,ETHUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-20 08:04:02.010137+00
62097,BTCUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-20 08:04:00.06108+00
62096,DOGEUSDT,1h,open_interest_1h,31205,200,31206,0,ok,"",2026-07-20 08:03:58.447852+00
62095,BNBUSDT,1h,open_interest_1h,31205,200,31206,0,ok,"",2026-07-20 08:03:56.283845+00
62094,XRPUSDT,1h,open_interest_1h,31205,200,31206,0,ok,"",2026-07-20 08:03:54.031672+00
62093,SOLUSDT,1h,open_interest_1h,31205,200,31206,0,ok,"",2026-07-20 08:03:52.08649+00
62092,ETHUSDT,1h,open_interest_1h,31205,200,31206,0,ok,"",2026-07-20 08:03:50.121697+00
62091,BTCUSDT,1h,open_interest_1h,31205,200,31206,0,ok,"",2026-07-20 08:03:47.257866+00
62090,DOGEUSDT,8h,funding_rate,3925,200,3926,0,ok,"",2026-07-20 08:03:44.776123+00
62089,BNBUSDT,8h,funding_rate,3925,200,3926,0,ok,"",2026-07-20 08:03:42.962213+00
62088,XRPUSDT,8h,funding_rate,3925,200,3926,0,ok,"",2026-07-20 08:03:40.611973+00
62087,SOLUSDT,8h,funding_rate,3925,200,3926,0,ok,"",2026-07-20 08:03:38.770477+00
62086,ETHUSDT,8h,funding_rate,3925,200,3926,0,ok,"",2026-07-20 08:03:36.539412+00
62085,BTCUSDT,8h,funding_rate,3925,200,3926,0,ok,"",2026-07-20 08:03:34.612025+00
62084,DOGEUSDT,1h,ohlcv,31112,4,31113,0,ok,"",2026-07-20 08:03:33.232845+00
62083,DOGEUSDT,1m,ohlcv,58899,13,58909,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 08:03:08.533121+00
62082,BNBUSDT,1h,ohlcv,31112,4,31113,0,ok,"",2026-07-20 08:02:54.320752+00
62081,XRPUSDT,1h,ohlcv,31112,4,31113,0,ok,"",2026-07-20 08:02:10.777173+00
62080,BNBUSDT,1m,ohlcv,58894,17,58908,0,ok,"",2026-07-20 08:01:52.645493+00
62079,SOLUSDT,1h,ohlcv,31112,4,31113,0,ok,"",2026-07-20 08:01:27.351466+00
62078,ETHUSDT,1h,ohlcv,31112,3,31112,0,ok,"",2026-07-20 08:00:44.634231+00
62077,XRPUSDT,1m,ohlcv,58896,13,58906,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 08:00:24.289129+00
62076,BTCUSDT,1h,ohlcv,31112,3,31112,0,ok,"",2026-07-20 07:59:39.400702+00
62075,DOGEUSDT,"4h,1h,30m,15m,5m,1d",enrich,,,,0,ok,"",2026-07-20 07:58:39.046113+00
62074,SOLUSDT,1m,ohlcv,58899,8,58904,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 07:58:22.459379+00
62073,BNBUSDT,"4h,1h,30m,15m,5m,1d",enrich,,,,0,ok,"",2026-07-20 07:57:47.050749+00
62072,XRPUSDT,"4h,1h,30m,15m,5m,1d",enrich,,,,0,ok,"",2026-07-20 07:56:51.725077+00
62071,ETHUSDT,1m,ohlcv,55705,11,55713,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 07:56:23.280183+00
62070,SOLUSDT,"4h,1h,30m,15m,5m,1d",enrich,,,,0,ok,"",2026-07-20 07:55:58.639756+00
62069,ETHUSDT,"4h,1h,30m,15m,5m,1d",enrich,,,,0,ok,"",2026-07-20 07:55:08.281228+00
62068,BTCUSDT,1m,ohlcv,58898,7,58902,0,quarantined,Data is stale: last candle 3 min ago,2026-07-20 07:54:38.19888+00
62067,BTCUSDT,"4h,1h,30m,15m,5m,1d",enrich,,,,0,ok,"",2026-07-20 07:54:14.622673+00
62066,DOGEUSDT,30m,ohlcv,62223,4,62224,0,ok,"",2026-07-20 07:53:17.575665+00
62065,DOGEUSDT,1m,ohlcv,58895,7,58899,0,ok,"",2026-07-20 07:52:48.201843+00
62064,BNBUSDT,30m,ohlcv,62223,4,62224,0,ok,"",2026-07-20 07:51:25.3062+00
62063,BNBUSDT,1m,ohlcv,58894,6,58897,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 07:51:06.112087+00
62062,XRPUSDT,30m,ohlcv,62223,4,62224,0,ok,"",2026-07-20 07:49:58.135185+00
62061,XRPUSDT,1m,ohlcv,58876,23,58896,0,ok,"",2026-07-20 07:49:50.329441+00
62060,SOLUSDT,1m,ohlcv,58875,23,58895,0,ok,"",2026-07-20 07:48:34.740961+00
62059,SOLUSDT,30m,ohlcv,62223,4,62224,0,ok,"",2026-07-20 07:48:33.715303+00
62058,ETHUSDT,1m,ohlcv,55700,8,55705,0,ok,"",2026-07-20 07:47:28.719155+00
62057,ETHUSDT,30m,ohlcv,62223,4,62224,0,ok,"",2026-07-20 07:47:12.503856+00
62056,BTCUSDT,1m,ohlcv,58878,19,58894,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 07:46:25.39464+00
62055,BTCUSDT,30m,ohlcv,62223,4,62224,0,ok,"",2026-07-20 07:45:52.277826+00
62054,DOGEUSDT,1m,ohlcv,58875,18,58890,0,quarantined,Data is stale: last candle 3 min ago,2026-07-20 07:44:51.397863+00
62053,DOGEUSDT,15m,ohlcv,124446,4,124447,0,ok,"",2026-07-20 07:43:59.654485+00
62052,BNBUSDT,1m,ohlcv,58874,17,58888,0,quarantined,Data is stale: last candle 3 min ago,2026-07-20 07:42:39.912042+00
62051,XRPUSDT,1m,ohlcv,58876,13,58886,0,quarantined,Data is stale: last candle 3 min ago,2026-07-20 07:40:48.732862+00
62050,BNBUSDT,15m,ohlcv,124446,4,124447,0,ok,"",2026-07-20 07:39:33.14109+00
62049,SOLUSDT,1m,ohlcv,58875,12,58884,0,quarantined,Data is stale: last candle 3 min ago,2026-07-20 07:38:48.088215+00
62048,ETHUSDT,1m,ohlcv,55685,12,55694,0,ok,"",2026-07-20 07:36:55.175239+00
62047,XRPUSDT,15m,ohlcv,124445,5,124447,0,ok,"",2026-07-20 07:35:35.407382+00
62046,BTCUSDT,1m,ohlcv,58878,8,58883,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 07:35:26.119358+00
62045,DOGEUSDT,1m,ohlcv,58875,7,58879,0,quarantined,Data is stale: last candle 3 min ago,2026-07-20 07:33:35.563857+00
62044,SOLUSDT,15m,ohlcv,124445,4,124446,0,ok,"",2026-07-20 07:31:31.874973+00
62043,BNBUSDT,1m,ohlcv,58874,6,58877,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 07:31:26.416848+00
62042,XRPUSDT,1m,ohlcv,58873,6,58876,0,ok,"",2026-07-20 07:29:50.632866+00
62041,SOLUSDT,1m,ohlcv,58872,6,58875,0,ok,"",2026-07-20 07:28:46.454183+00
62040,ETHUSDT,15m,ohlcv,124445,4,124446,0,ok,"",2026-07-20 07:28:43.071373+00
62039,ETHUSDT,1m,ohlcv,55682,6,55685,0,ok,"",2026-07-20 07:27:42.555896+00
62038,BTCUSDT,1m,ohlcv,58872,6,58875,0,ok,"",2026-07-20 07:26:38.806201+00
62037,BTCUSDT,15m,ohlcv,124445,4,124446,0,ok,"",2026-07-20 07:26:24.210972+00
62036,DOGEUSDT,1m,ohlcv,58869,6,58872,0,ok,"",2026-07-20 07:25:34.006012+00
62035,BNBUSDT,1m,ohlcv,58864,10,58871,0,ok,"",2026-07-20 07:24:23.868505+00
62034,DOGEUSDT,5m,ohlcv,373333,6,373336,0,ok,"",2026-07-20 07:24:01.830815+00
62033,XRPUSDT,1m,ohlcv,58866,7,58870,0,ok,"",2026-07-20 07:23:17.487419+00
62032,SOLUSDT,1m,ohlcv,58865,7,58869,0,ok,"",2026-07-20 07:22:11.141148+00
62031,ETHUSDT,1m,ohlcv,55675,7,55679,0,ok,"",2026-07-20 07:21:12.158096+00
62030,BTCUSDT,1m,ohlcv,58865,7,58869,0,ok,"",2026-07-20 07:20:12.698452+00
62029,DOGEUSDT,1m,ohlcv,58862,6,58865,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 07:19:07.871834+00
62028,BNBUSDT,1m,ohlcv,58861,6,58864,0,ok,"",2026-07-20 07:17:56.987447+00
62027,XRPUSDT,1m,ohlcv,58860,6,58863,0,ok,"",2026-07-20 07:16:51.741553+00
62026,BNBUSDT,5m,ohlcv,373321,17,373335,0,ok,"",2026-07-20 07:16:51.370302+00
62025,SOLUSDT,1m,ohlcv,58859,6,58862,0,ok,"",2026-07-20 07:15:48.518969+00
62024,ETHUSDT,1m,ohlcv,55669,6,55672,0,ok,"",2026-07-20 07:14:46.574852+00
62023,BTCUSDT,1m,ohlcv,58859,6,58862,0,ok,"",2026-07-20 07:13:51.010123+00
62022,DOGEUSDT,1m,ohlcv,58856,6,58859,0,ok,"",2026-07-20 07:12:46.155103+00
62021,BNBUSDT,1m,ohlcv,58855,6,58858,0,ok,"",2026-07-20 07:11:38.131438+00
62020,XRPUSDT,1m,ohlcv,58854,6,58857,0,ok,"",2026-07-20 07:10:33.134962+00
62019,XRPUSDT,5m,ohlcv,373330,6,373333,0,quarantined,Data is stale: last candle 10 min ago,2026-07-20 07:10:19.29835+00
62018,SOLUSDT,1m,ohlcv,58853,6,58856,0,ok,"",2026-07-20 07:09:28.302331+00
62017,ETHUSDT,1m,ohlcv,55663,6,55666,0,ok,"",2026-07-20 07:08:23.543375+00
62016,BTCUSDT,1m,ohlcv,58849,10,58856,0,ok,"",2026-07-20 07:07:23.090832+00
62015,DOGEUSDT,1m,ohlcv,58849,7,58853,0,ok,"",2026-07-20 07:06:21.607999+00
62014,BNBUSDT,1m,ohlcv,58848,7,58852,0,ok,"",2026-07-20 07:05:11.154079+00
62013,XRPUSDT,1m,ohlcv,58847,6,58850,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 07:04:06.330615+00
62012,SOLUSDT,5m,ohlcv,373329,6,373332,0,ok,"",2026-07-20 07:03:43.28802+00
62011,SOLUSDT,1m,ohlcv,58846,6,58849,0,ok,"",2026-07-20 07:02:58.226774+00
62010,ETHUSDT,1m,ohlcv,55656,6,55659,0,ok,"",2026-07-20 07:01:55.320915+00
62009,BTCUSDT,1m,ohlcv,58846,6,58849,0,ok,"",2026-07-20 07:00:54.492818+00
62008,DOGEUSDT,1m,ohlcv,58843,6,58846,0,ok,"",2026-07-20 06:59:48.827122+00
62007,BNBUSDT,1m,ohlcv,58842,6,58845,0,ok,"",2026-07-20 06:58:43.61174+00
62006,XRPUSDT,1m,ohlcv,58841,6,58844,0,ok,"",2026-07-20 06:57:39.404343+00
62005,ETHUSDT,5m,ohlcv,373312,22,373331,0,ok,"",2026-07-20 06:56:55.604064+00
62004,SOLUSDT,1m,ohlcv,58840,6,58843,0,ok,"",2026-07-20 06:56:36.788342+00
62003,ETHUSDT,1m,ohlcv,55650,6,55653,0,ok,"",2026-07-20 06:55:33.558139+00
62002,BTCUSDT,1m,ohlcv,58840,6,58843,0,ok,"",2026-07-20 06:54:32.058203+00
62001,DOGEUSDT,1m,ohlcv,58836,7,58840,0,ok,"",2026-07-20 06:53:30.677123+00
62000,BNBUSDT,1m,ohlcv,58835,7,58839,0,ok,"",2026-07-20 06:52:18.610985+00
61999,XRPUSDT,1m,ohlcv,58834,7,58838,0,ok,"",2026-07-20 06:51:16.745713+00
61998,SOLUSDT,1m,ohlcv,58833,7,58837,0,ok,"",2026-07-20 06:50:11.33216+00
61997,BTCUSDT,5m,ohlcv,373326,6,373329,0,quarantined,Data is stale: last candle 10 min ago,2026-07-20 06:50:04.621453+00
61996,ETHUSDT,1m,ohlcv,55643,7,55647,0,ok,"",2026-07-20 06:49:07.356036+00
61995,BTCUSDT,1m,ohlcv,58833,6,58836,0,quarantined,Data is stale: last candle 2 min ago,2026-07-20 06:48:07.038924+00
61994,DOGEUSDT,1m,ohlcv,58830,6,58833,0,ok,"",2026-07-20 06:46:58.760835+00
61993,BNBUSDT,1m,ohlcv,58826,9,58832,0,ok,"",2026-07-20 06:45:49.033856+00
61992,XRPUSDT,1m,ohlcv,58827,7,58831,0,ok,"",2026-07-20 06:44:43.241674+00
61991,SOLUSDT,1m,ohlcv,58826,7,58830,0,ok,"",2026-07-20 06:43:36.340041+00
61990,DOGEUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-20 06:43:12.105482+00
61989,BNBUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-20 06:43:10.138583+00
61988,XRPUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-20 06:43:02.143425+00
61987,SOLUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-20 06:43:00.125275+00
61986,ETHUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-20 06:42:58.078503+00
61985,BTCUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-20 06:42:56.123918+00
61984,DOGEUSDT,1h,open_interest_1h,31204,200,31204,0,ok,"",2026-07-20 06:42:54.516294+00
61983,BNBUSDT,1h,open_interest_1h,31204,200,31204,0,ok,"",2026-07-20 06:42:52.620267+00
61982,XRPUSDT,1h,open_interest_1h,31204,200,31204,0,ok,"",2026-07-20 06:42:50.639246+00
61981,SOLUSDT,1h,open_interest_1h,31204,200,31204,0,ok,"",2026-07-20 06:42:48.393884+00
61980,ETHUSDT,1h,open_interest_1h,31204,200,31204,0,ok,"",2026-07-20 06:42:46.910843+00
61979,BTCUSDT,1h,open_interest_1h,31204,200,31204,0,ok,"",2026-07-20 06:42:44.455091+00
61978,DOGEUSDT,8h,funding_rate,3925,200,3925,0,ok,"",2026-07-20 06:42:42.137684+00
61977,BNBUSDT,8h,funding_rate,3925,200,3925,0,ok,"",2026-07-20 06:42:40.22645+00
61976,XRPUSDT,8h,funding_rate,3925,200,3925,0,ok,"",2026-07-20 06:42:38.45801+00
