id,run_time,signal_id,symbol,dqs,gate_reached,gate_passed,gate_reason,final_action,created_at,checksum
261119,2026-07-21 11:32:47.156358+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:47.156358+00,
261118,2026-07-21 11:32:47.153119+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:47.153119+00,
261117,2026-07-21 11:32:47.149352+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:47.149352+00,
261116,2026-07-21 11:32:32.167753+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:32.167753+00,
261115,2026-07-21 11:32:32.164315+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:32.164315+00,
261114,2026-07-21 11:32:32.160819+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:32.160819+00,
261113,2026-07-21 11:32:32.157419+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:32.157419+00,
261112,2026-07-21 11:32:32.153921+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:32.153921+00,
261111,2026-07-21 11:32:32.14977+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:32.14977+00,
261110,2026-07-21 11:32:17.169264+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:17.169264+00,
261109,2026-07-21 11:32:17.165443+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:17.165443+00,
261108,2026-07-21 11:32:17.161592+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:17.161592+00,
261107,2026-07-21 11:32:17.157766+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:17.157766+00,
261106,2026-07-21 11:32:17.154013+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:17.154013+00,
261105,2026-07-21 11:32:17.14939+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:17.14939+00,
261104,2026-07-21 11:32:02.168977+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:02.168977+00,
261103,2026-07-21 11:32:02.164922+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:02.164922+00,
261102,2026-07-21 11:32:02.160918+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:02.160918+00,
261101,2026-07-21 11:32:02.157165+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:02.157165+00,
261100,2026-07-21 11:32:02.153397+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:02.153397+00,
261099,2026-07-21 11:32:02.149003+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:32:02.149003+00,
261098,2026-07-21 11:31:47.165575+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:47.165575+00,
261097,2026-07-21 11:31:47.162342+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:47.162342+00,
261096,2026-07-21 11:31:47.159099+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:47.159099+00,
261095,2026-07-21 11:31:47.155659+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:47.155659+00,
261094,2026-07-21 11:31:47.152307+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:47.152307+00,
261093,2026-07-21 11:31:47.148493+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:47.148493+00,
261092,2026-07-21 11:31:32.174187+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:32.174187+00,
261091,2026-07-21 11:31:32.169138+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:32.169138+00,
261090,2026-07-21 11:31:32.163987+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:32.163987+00,
261089,2026-07-21 11:31:32.158848+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:32.158848+00,
261088,2026-07-21 11:31:32.15407+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:32.15407+00,
261087,2026-07-21 11:31:32.148371+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:32.148371+00,
261086,2026-07-21 11:31:17.171656+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:17.171656+00,
261085,2026-07-21 11:31:17.167369+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:17.167369+00,
261084,2026-07-21 11:31:17.163049+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:17.163049+00,
261083,2026-07-21 11:31:17.158557+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:17.158557+00,
261082,2026-07-21 11:31:17.15431+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:17.15431+00,
261081,2026-07-21 11:31:17.149724+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:17.149724+00,
261080,2026-07-21 11:31:02.177075+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:02.177075+00,
261079,2026-07-21 11:31:02.172121+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:02.172121+00,
261078,2026-07-21 11:31:02.166566+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:02.166566+00,
261077,2026-07-21 11:31:02.160888+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:02.160888+00,
261076,2026-07-21 11:31:02.155312+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:02.155312+00,
261075,2026-07-21 11:31:02.149152+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:31:02.149152+00,
261074,2026-07-21 11:30:47.168619+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:47.168619+00,
261073,2026-07-21 11:30:47.164774+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:47.164774+00,
261072,2026-07-21 11:30:47.160682+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:47.160682+00,
261071,2026-07-21 11:30:47.156629+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:47.156629+00,
261070,2026-07-21 11:30:47.152792+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:47.152792+00,
261069,2026-07-21 11:30:47.148446+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:47.148446+00,
261068,2026-07-21 11:30:32.169114+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:32.169114+00,
261067,2026-07-21 11:30:32.165477+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:32.165477+00,
261066,2026-07-21 11:30:32.161816+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:32.161816+00,
261065,2026-07-21 11:30:32.157739+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:32.157739+00,
261064,2026-07-21 11:30:32.154024+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:32.154024+00,
261063,2026-07-21 11:30:32.149226+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:32.149226+00,
261062,2026-07-21 11:30:17.171486+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:17.171486+00,
261061,2026-07-21 11:30:17.1676+00,45,XRPUSDT,63,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:17.1676+00,
261060,2026-07-21 11:30:17.163314+00,46,ETHUSDT,68,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:17.163314+00,
261059,2026-07-21 11:30:17.159149+00,47,SOLUSDT,78,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:17.159149+00,
261058,2026-07-21 11:30:17.154859+00,49,SOLUSDT,65,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:17.154859+00,
261057,2026-07-21 11:30:17.150033+00,50,BTCUSDT,66,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:17.150033+00,
261056,2026-07-21 11:30:02.189968+00,44,BTCUSDT,79,GATE_1_EXPIRED,f,Signal already expired,SKIPPED,2026-07-21 11:30:02.189968+00,
