id,trade_id,symbol,event_type,event_time,price_at_event,balance_before,balance_after,margin_delta,fee_applied,pnl_delta,running_pnl,detail
35,39,XRPUSDT,FUNDING_SETTLEMENT,2026-07-19 00:00:07.063794+00,1.09220000,,,0.0000,0.035056,0.0351,,"{""rate"": -0.00001752, ""sign"": 1, ""windowStart"": ""2026-07-19T00:00:00.000Z""}"
34,36,BTCUSDT,CLOSE,2026-07-18 20:22:48.881995+00,64686.00000000,10008.6900,10517.3083,-499.5900,1.102896,9.0283,,"{""netPct"": 1.8071425969295, ""reason"": ""TP_HIT"", ""grossUsd"": 11.27780000000009, ""hoursHeld"": ""2.61""}"
33,34,XRPUSDT,CLOSE,2026-07-18 17:49:16.579947+00,1.09370000,10023.4500,10511.7443,-500.8600,1.105020,-12.5657,,"{""netPct"": -2.5088287735095043, ""reason"": ""SL_HIT"", ""grossUsd"": -10.103499999999704, ""hoursHeld"": ""5.71""}"
32,35,BTCUSDT,CLOSE,2026-07-18 16:57:16.259375+00,64265.10000000,10033.6600,10519.2958,-496.9400,1.095720,-11.3042,,"{""netPct"": -2.2747655562039495, ""reason"": ""SL_HIT"", ""grossUsd"": -8.825699999999909, ""hoursHeld"": ""3.64""}"
31,34,XRPUSDT,FUNDING_SETTLEMENT,2026-07-18 16:00:14.976549+00,1.08670000,,,0.0000,0.085760,-0.0858,,"{""rate"": -0.00004296, ""sign"": -1, ""windowStart"": ""2026-07-18T16:00:00.000Z""}"
30,33,BNBUSDT,FUNDING_SETTLEMENT,2026-07-18 16:00:14.970793+00,570.00000000,,,0.0000,0.027430,-0.0274,,"{""rate"": 0.00001371, ""sign"": -1, ""windowStart"": ""2026-07-18T16:00:00.000Z""}"
29,35,BTCUSDT,FUNDING_SETTLEMENT,2026-07-18 16:00:14.9634+00,64098.50000000,,,0.0000,0.058459,0.0585,,"{""rate"": 0.00002942, ""sign"": 1, ""windowStart"": ""2026-07-18T16:00:00.000Z""}"
28,32,SOLUSDT,CLOSE,2026-07-18 13:20:27.523121+00,74.54000000,10026.0100,10532.8453,-499.2500,1.090520,7.5853,,"{""netPct"": 1.519334962443614, ""reason"": ""TP_HIT"", ""grossUsd"": 9.841999999999743, ""hoursHeld"": ""6.09""}"
27,31,ETHUSDT,CLOSE,2026-07-18 13:14:27.412621+00,1838.60000000,10036.1600,10525.5896,-500.6700,1.094151,-11.2404,,"{""netPct"": -2.2450657838496397, ""reason"": ""SL_HIT"", ""grossUsd"": -8.93731999999999, ""hoursHeld"": ""7.18""}"
26,31,ETHUSDT,FUNDING_SETTLEMENT,2026-07-18 08:00:08.043303+00,1843.47000000,,,0.0000,0.036502,-0.0365,,"{""rate"": 0.0000183, ""sign"": -1, ""windowStart"": ""2026-07-18T08:00:00.000Z""}"
