id,scan_time_utc,symbol,last_bar_utc,current_price,rsi_15m_now,adx_4h_now,atr_15m_now,session_now,h4_direction,h4_ema_trend,regime,signal_type,quality,gates_passed,sl_level,tp_level,notes,created_at,gate_session_ok,gate_adx_ok,gate_direction_ok,gate_rsi_ok,gate_bull_4h_ok
960,2026-07-20 14:49:15.686467,BTCUSDT,2026-07-20 13:30:00,64646.30000000,62.02,40.39,200.27142857,ny_open,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,63995.41790000,66148.33570000,Dropped: symbol not seen in current scan,2026-07-21 12:11:45.720138,t,t,t,f,t
1142,2026-07-21 08:56:39.53605,XRPUSDT,2026-07-21 07:45:00,1.13460000,72.30,64.48,0.00424286,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.14840000,1.10145000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,t,t
1066,2026-07-21 04:26:57.076567,XRPUSDT,2026-07-21 03:30:00,1.12280000,71.27,36.98,0.00376429,asian,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.10870000,1.14090000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,f,t,t,f,t
1157,2026-07-21 10:10:13.119866,BNBUSDT,2026-07-21 10:00:00,579.20000000,70.00,54.67,1.07142857,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,581.34290000,572.23577000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1119,2026-07-21 08:14:31.278794,BNBUSDT,2026-07-21 07:45:00,576.40000000,68.85,49.83,0.90714286,london,DOWN,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,578.21430000,571.86430000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1177,2026-07-21 11:08:14.640594,BNBUSDT,2026-07-21 10:00:00,579.20000000,70.00,54.67,1.07142857,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,581.34290000,572.23577000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1135,2026-07-21 08:46:09.25928,SOLUSDT,2026-07-21 07:45:00,78.59000000,75.00,56.38,0.22500000,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,78.02750000,80.27750000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
945,2026-07-20 14:07:09.972758,SOLUSDT,2026-07-20 13:30:00,76.91000000,60.63,35.56,0.30571429,ny_open,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,76.14570000,79.20290000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1043,2026-07-20 22:06:18.10285,XRPUSDT,2026-07-20 21:00:00,1.11800000,60.47,38.15,0.00392143,ny_late,DOWN,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.12780000,1.09450000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1136,2026-07-21 08:46:09.25928,XRPUSDT,2026-07-21 07:45:00,1.13460000,72.30,64.48,0.00424286,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.14840000,1.10145000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,t,t
1141,2026-07-21 08:56:39.53605,SOLUSDT,2026-07-21 07:45:00,78.59000000,75.00,56.38,0.22500000,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,78.02750000,80.27750000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1155,2026-07-21 10:04:56.192855,XRPUSDT,2026-07-21 08:45:00,1.13290000,53.72,59.19,0.00355714,london,DOWN,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.14180000,1.11160000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
957,2026-07-20 14:38:45.268035,SOLUSDT,2026-07-20 13:30:00,76.91000000,60.63,35.56,0.30571429,ny_open,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,76.14570000,79.20290000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1134,2026-07-21 08:40:53.674126,BNBUSDT,2026-07-21 07:45:00,576.40000000,68.85,49.83,0.90714286,london,DOWN,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,578.21430000,571.86430000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1075,2026-07-21 04:48:05.473855,BNBUSDT,2026-07-21 03:30:00,574.30000000,71.43,40.68,1.12857143,asian,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,572.04290000,579.94290000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,f,t,t,f,t
977,2026-07-20 16:45:16.489132,BTCUSDT,2026-07-20 15:45:00,65318.10000000,66.78,25.40,291.33571429,ny_open,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,64589.76070000,68158.62327000,Dropped: symbol not seen in current scan,2026-07-21 12:11:45.720138,t,t,t,f,t
1128,2026-07-21 08:30:22.151037,BNBUSDT,2026-07-21 07:45:00,576.40000000,68.85,49.83,0.90714286,london,DOWN,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,578.21430000,571.86430000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1138,2026-07-21 08:51:23.532839,SOLUSDT,2026-07-21 07:45:00,78.59000000,75.00,56.38,0.22500000,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,78.02750000,80.27750000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
949,2026-07-20 14:17:40.818165,SOLUSDT,2026-07-20 13:30:00,76.91000000,60.63,35.56,0.30571429,ny_open,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,76.14570000,79.20290000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1029,2026-07-20 21:13:26.452677,SOLUSDT,2026-07-20 20:00:00,77.64000000,51.75,31.41,0.30357143,ny_late,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,76.88110000,79.91680000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
973,2026-07-20 16:34:43.346295,BTCUSDT,2026-07-20 15:45:00,65318.10000000,66.78,25.40,291.33571429,ny_open,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,64589.76070000,68158.62327000,Dropped: symbol not seen in current scan,2026-07-21 12:11:45.720138,t,t,t,f,t
1202,2026-07-21 12:16:47.912735,BTCUSDT,2026-07-21 11:45:00,66318.60000000,58.36,57.92,113.55000000,london,UP,BULL,PULLBACK,CONFIRMED,HIGH,3/4,66034.72500000,66999.90000000,DQS=68 | tech=41 struct=72 ctx=95,2026-07-21 12:17:03.444156,t,t,t,f,t
999,2026-07-20 19:17:35.036616,XRPUSDT,2026-07-20 18:00:00,1.11800000,82.37,34.76,0.00477857,overlap,DOWN,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.12990000,1.08069000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,f,t,t,t,t
