symbol,side,entry_date,entry_price,sl_price,tp_price,dqs_score,regime,strategy,approved,reject_reason,promoted,exit_date,exit_price,exit_reason,hours_held,pnl_usd,pnl_pct,risk_usd,kelly_fraction,win,notes,intent,outcome,crowded,data_quality,sl_original,atr_at_entry,calibration_prob,calibration_level,rsi_entry,adx_entry,atr_pct_entry,volume_entry,turnover_entry,oi_entry,funding_rate_entry,buy_ratio_entry,sell_ratio_entry,bull_4h_entry,ctx_adx_entry,ctx_log_ret_4h_entry,session,efficiency_ratio_entry,atr_rank_entry,rsi_exit,adx_exit,atr_exit,atr_pct_exit,volume_exit,regime_exit,close_exit,mfe_price,mfe_atr,mfe_pct_of_tp,mae_price,mae_atr,mae_pct_of_sl,bars_to_mfe,bars_to_mae,time_in_profit_bars,time_in_loss_bars,tech_raw,struct_raw,ctx_raw,contra_penalty,direction,calibrated_prob_signal,equity_at_entry,open_trades_at_entry,open_risk_at_entry,margin_used_at_entry,risk_budget_used_pct,hmm_confidence,hmm_regime_raw,fees_usd,gross_pnl_usd,notional,qty,risk_tier,kelly_band,sl_dist_atr,tp_dist_atr,rr_ratio
ETHUSDT,LONG,2026-01-01 12:30:00,2983.18,2975.8986,2997.7429,59.46,MIXED,mean_reversion,False,RegimeGate: DQS 59 < 60 for MIXED,False,,0,REJECTED,0,0,0,97.57075999999797,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,2975.8986,3.6407142857142714,0.0,,46.08876205361865,48.67349030553469,0.12204138824054436,2332.74,6958530.4491,728905.48,0.0001,0.7615,0.2385,1,35.23671252299631,0.00019741652105802565,ny_open,0.1746031746031649,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.75,35.0,62.5,0.0,LONG,0.473,0.0,0,0.0,0.0,0.0,0.9999594013590097,TRENDING,0.0,0.0,39974.612,13.4,fair,0.8999999999999999,1.9999921522463857,4.000011771630484,2.0
XRPUSDT,LONG,2026-01-01 12:30:00,1.852,1.8448,1.86128,57.7,MIXED,mean_reversion,False,RegimeGate: DQS 58 < 60 for MIXED,False,,0,REJECTED,0,0,0,155.50704000000206,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8448,0.0028999999999999976,0.0,,54.47490490298132,49.495399340338246,0.1565874730021597,625781.8,1159237.87816,176608507.7,-3.864e-05,0.7894,0.2106,0,18.463535351462045,0.003928643752744059,ny_open,0.3999999999999967,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,38.75,35.0,87.5,5.0,LONG,0.5767,0.0,0,0.0,0.0,0.0,0.9999591832637829,TRENDING,0.0,0.0,39999.866400000006,21598.2,fair,0.8999999999999999,2.48275862068969,3.1999999999999873,1.6
ETHUSDT,LONG,2026-01-01 12:45:00,2986.24,2978.9743,3000.7714,52.26,MIXED,mean_reversion,False,RegimeGate: DQS 52 < 60 for MIXED,False,,0,REJECTED,0,0,0,97.28772299999899,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,2978.9743,3.6328571428571195,0.0,,57.028642037282154,49.179836176726134,0.12165322086828652,1955.18,5836979.3533,728905.48,0.0001,0.7615,0.2385,1,35.23671252299631,0.00019741652105802565,ny_open,0.19041916167663378,0.34615384615384615,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,35.75,35.0,62.5,0.0,LONG,0.25,0.0,0,0.0,0.0,0.0,0.9999506778780591,TRENDING,0.0,0.0,39985.7536,13.39,fair,0.8999999999999999,1.9999960676366417,3.9999921352734087,2.0
XRPUSDT,LONG,2026-01-01 12:45:00,1.8517,1.845,1.86026,57.7,MIXED,mean_reversion,False,RegimeGate: DQS 58 < 60 for MIXED,False,,0,REJECTED,0,0,0,144.73138999999844,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.845,0.002678571428571435,0.0,,52.57191436795479,47.62287588923933,0.14465471882980155,248039.0,459444.35024,176608507.7,-3.864e-05,0.7894,0.2106,0,18.463535351462045,0.003928643752744059,ny_open,0.34630350194551196,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,38.75,35.0,87.5,5.0,LONG,0.5767,0.0,0,0.0,0.0,0.0,0.999957426804438,TRENDING,0.0,0.0,39999.86789,21601.7,fair,0.8999999999999999,2.5013333333333003,3.1957333333333713,1.6
ETHUSDT,LONG,2026-01-01 13:00:00,2987.69,2980.23,3002.61,52.26,MIXED,mean_reversion,False,RegimeGate: DQS 52 < 60 for MIXED,False,,0,REJECTED,0,0,0,99.81480000000049,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,2980.23,3.7299999999999534,0.0,,61.320173074007734,49.00631107955888,0.12484561651309048,3554.73,10616740.5205,725456.72,0.0001,0.7623,0.2377,1,35.23671252299631,0.00019741652105802565,ny_open,0.20306513409960864,0.39622641509433965,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,35.75,35.0,62.5,0.0,LONG,0.25,0.0,0,0.0,0.0,0.0,0.9999552172217288,TRENDING,0.0,0.0,39975.2922,13.38,fair,0.8999999999999999,2.0000000000000346,4.000000000000069,2.0
XRPUSDT,LONG,2026-01-01 13:00:00,1.8542,1.8475,1.86276,57.7,MIXED,mean_reversion,False,RegimeGate: DQS 58 < 60 for MIXED,False,,0,REJECTED,0,0,0,144.53642000000326,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8475,0.002664285714285738,0.0,,64.49721282827397,45.7486330414152,0.14368923062699482,337203.7,624561.15067,176320627.2,-3.864e-05,0.7889,0.2111,0,18.463535351462045,0.003928643752744059,ny_open,0.3488372093023176,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,38.75,35.0,87.5,5.0,LONG,0.5767,0.0,0,0.0,0.0,0.0,0.9999471522455305,TRENDING,0.0,0.0,39999.91492,21572.600000000002,fair,0.8999999999999999,2.514745308311026,3.212868632707709,1.6
BTCUSDT,LONG,2026-01-01 13:15:00,87942.7,87747.3429,88192.75712,56.26,MIXED,trend_following,False,RegimeGate: DQS 56 < 60 for MIXED,False,,0,REJECTED,0,0,0,59.9746296999981,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87747.3429,78.14285714285923,0.0,,64.44604313455912,43.937363799006064,0.08885655903543925,98.397,8653461.2097,52750.503,8.507e-05,0.7323,0.2677,0,18.74087893071108,0.00013183870689872668,ny_open,0.4901628222523455,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,35.75,35.0,87.5,5.0,LONG,0.6247,0.0,0,0.0,0.0,0.0,0.9999599129255027,TRENDING,0.0,0.0,26998.4089,0.307,fair,0.3,2.4999994515537844,3.1999997074953144,1.6
ETHUSDT,LONG,2026-01-01 13:15:00,2982.74,2970.9329,2995.3343,51.46,VOLATILE,mean_reversion,False,RegimeGate: DQS 51 < 60 for VOLATILE,False,,0,REJECTED,0,0,0,158.3332109999999,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,2970.9329,3.935714285714247,0.0,,44.008047786807964,47.88861687486315,0.13194962637421456,3461.59,10338378.3009,725456.72,0.0001,0.7623,0.2377,1,35.23671252299631,0.00019741652105802565,ny_open,0.08362091850277553,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.75,35.0,62.5,0.0,LONG,0.25,0.0,0,0.0,0.0,0.0,0.9999565747100271,TRENDING,0.0,0.0,39998.543399999995,13.41,fair,0.8999999999999999,2.9999891107078316,3.2000036297641485,1.07
BTCUSDT,LONG,2026-01-01 13:30:00,87942.2,87745.5571,88256.8286,56.26,MIXED,trend_following,False,RegimeGate: DQS 56 < 60 for MIXED,False,,0,REJECTED,0,0,0,59.97608449999745,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87745.5571,78.65714285714368,0.0,,64.26764796249276,40.08528717746231,0.08944186392555985,94.641,8322386.2144,52750.503,8.507e-05,0.7323,0.2677,0,18.74087893071108,0.00013183870689872668,ny_open,0.41618273325587585,0.3090909090909091,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,35.75,35.0,87.5,5.0,LONG,0.6247,0.0,0,0.0,0.0,0.0,0.9999597841462238,TRENDING,0.0,0.0,26822.371,0.305,fair,0.3,2.50000054486002,4.000000363240013,1.6
ETHUSDT,LONG,2026-01-01 13:30:00,2983.46,2971.1557,2996.5846,51.46,VOLATILE,mean_reversion,False,RegimeGate: DQS 51 < 60 for VOLATILE,False,,0,REJECTED,0,0,0,164.87762000000322,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,2971.1557,4.101428571428512,0.0,,46.541089391809344,46.13389025547722,0.13747221586441621,3108.55,9273379.0944,725456.72,0.0001,0.7623,0.2377,1,35.23671252299631,0.00019741652105802565,ny_open,0.050866098432770006,0.5818181818181818,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.75,35.0,62.5,0.0,LONG,0.25,0.0,0,0.0,0.0,0.0,0.9999603144259326,TRENDING,0.0,0.0,39978.364,13.4,fair,0.8999999999999999,3.0000034831070335,3.200006966213934,1.07
