symbol,side,entry_date,entry_price,sl_price,tp_price,dqs_score,regime,strategy,approved,reject_reason,promoted,exit_date,exit_price,exit_reason,hours_held,pnl_usd,pnl_pct,risk_usd,kelly_fraction,win,notes,intent,outcome,crowded,data_quality,sl_original,atr_at_entry,calibration_prob,calibration_level
ETHUSDT,SHORT,2026-03-24 16:00:00,2136.89,2173.6503,2026.60918,64.74,TRENDING,mean_reversion,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,1038.4784749999976,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2173.6503,14.1385714285714,0.3478,global_curve
ETHUSDT,SHORT,2026-03-24 16:15:00,2134.57,2172.023,2022.211,64.74,TRENDING,mean_reversion,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,1038.5716899999993,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2172.023,14.404999999999973,0.3478,global_curve
XRPUSDT,LONG,2026-03-24 16:15:00,1.3974,1.3728,1.45642,88.54,TRENDING,mean_reversion,False,V7_KELLY_ZERO: Kelly=0 (sizing veto),False,,0,REJECTED,0,0,0,0.0,0.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,1.3728,0.007564285714285658,0.5,symbol_curve
ETHUSDT,LONG,2026-03-24 16:30:00,2129.65,2091.9871,2242.63859,57.94,TRENDING,mean_reversion,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,1038.3661530000072,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2091.9871,14.485714285714266,0.3478,global_curve
XRPUSDT,LONG,2026-03-24 16:30:00,1.3928,1.3675,1.45338,94.66,TRENDING,mean_reversion,False,CalibrationGate: prob 0.33 < 0.40 (symbol_curve),False,,0,REJECTED,0,0,0,0.0,0.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,1.3675,0.007771428571428525,0.3333,symbol_curve
ETHUSDT,LONG,2026-03-24 16:45:00,2126.36,2089.1633,2237.95018,61.54,TRENDING,mean_reversion,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,1038.5318639999991,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2089.1633,14.306428571428537,0.3478,global_curve
XRPUSDT,LONG,2026-03-24 16:45:00,1.3901,1.365,1.45029,100,TRENDING,mean_reversion,False,V7_KELLY_ZERO: Kelly=0 (sizing veto),False,,0,REJECTED,0,0,0,0.0,0.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,1.365,0.00772142857142853,0.5,symbol_curve
ETHUSDT,LONG,2026-03-24 17:00:00,2116.26,2080.9371,2222.22859,83.14,TRENDING,mean_reversion,False,RiskBudgetLedger: risk budget full (3852.32 > 2309.25),False,,0,REJECTED,0,0,0,3852.3154740000127,7.5,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2080.9371,13.585714285714241,0.0,
XRPUSDT,LONG,2026-03-24 17:00:00,1.3908,1.3678,1.44605,94.66,TRENDING,mean_reversion,False,CalibrationGate: prob 0.33 < 0.40 (symbol_curve),False,,0,REJECTED,0,0,0,0.0,0.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,1.3678,0.007085714285714266,0.3333,symbol_curve
ETHUSDT,LONG,2026-03-24 17:15:00,2112.74,2078.589,2215.193,83.14,TRENDING,mean_reversion,False,RiskBudgetLedger: risk budget full (3731.00 > 2309.25),False,,0,REJECTED,0,0,0,3730.9967499999825,7.5,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2078.589,13.134999999999959,0.0,
XRPUSDT,LONG,2026-03-24 17:15:00,1.3889,1.3664,1.44285,100,TRENDING,mean_reversion,False,V7_KELLY_ZERO: Kelly=0 (sizing veto),False,,0,REJECTED,0,0,0,0.0,0.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,1.3664,0.006921428571428555,0.5,symbol_curve
ETHUSDT,LONG,2026-03-24 17:30:00,2103.37,2071.0427,2200.35182,83.14,TRENDING,mean_reversion,False,RiskBudgetLedger: risk budget full (3547.27 > 2309.25),False,,0,REJECTED,0,0,0,3547.274628999992,7.5,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2071.0427,12.433571428571375,0.0,
XRPUSDT,LONG,2026-03-24 17:30:00,1.384,1.3621,1.43652,100,TRENDING,mean_reversion,False,V7_KELLY_ZERO: Kelly=0 (sizing veto),False,,0,REJECTED,0,0,0,0.0,0.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,1.3621,0.006728571428571417,0.5,symbol_curve
ETHUSDT,LONG,2026-03-24 17:45:00,2108.01,2076.0244,2181.8229,73.54,TRENDING,mean_reversion,False,RiskBudgetLedger: risk budget full (3502.10 > 2309.25),False,,0,REJECTED,0,0,0,3502.1033440000474,3.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2076.0244,12.302142857142794,0.0,
XRPUSDT,LONG,2026-03-24 17:45:00,1.3874,1.366,1.43875,88.54,TRENDING,mean_reversion,False,V7_KELLY_ZERO: Kelly=0 (sizing veto),False,,0,REJECTED,0,0,0,0.0,0.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,1.366,0.00658571428571429,0.5,symbol_curve
ETHUSDT,LONG,2026-03-24 18:00:00,2110.17,2078.8623,2182.4186,76.06,TRENDING,trend_following,False,RiskBudgetLedger: risk budget full (3424.44 > 2309.25),False,,0,REJECTED,0,0,0,3424.436226000032,1.5,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2078.8623,12.0414285714285,0.0,
ETHUSDT,SHORT,2026-03-24 18:15:00,2116.2,2144.6459,2050.5557,57.66,TRENDING,trend_following,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,346.186603000002,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2144.6459,10.940714285714193,0.3478,global_curve
ETHUSDT,SHORT,2026-03-24 18:30:00,2119.28,2148.2477,2052.4314,55.14,TRENDING,trend_following,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,346.16401499999637,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2148.2477,11.141428571428476,0.3478,global_curve
ETHUSDT,SHORT,2026-03-24 18:45:00,2118.1,2145.8253,2054.1186,55.14,TRENDING,trend_following,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,346.01174400000076,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2145.8253,10.66357142857136,0.3478,global_curve
ETHUSDT,SHORT,2026-03-24 19:00:00,2125.17,2151.8219,2063.6657,62.34,TRENDING,trend_following,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,346.2081809999979,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2151.8219,10.250714285714205,0.3478,global_curve
BNBUSDT,SHORT,2026-03-24 19:00:00,631.4,634.9429,622.5429,56.7,MIXED,trend_following,False,RegimeGate: DQS 57 < 60 for MIXED,False,,0,REJECTED,0,0,0,346.2121880000031,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,634.9429,1.7714285714285845,0.0,
ETHUSDT,SHORT,2026-03-24 19:15:00,2119.65,2145.9601,2058.9343,55.14,TRENDING,trend_following,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,345.977814999996,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2145.9601,10.119285714285622,0.3478,global_curve
ETHUSDT,SHORT,2026-03-24 19:30:00,2119.18,2145.466,2058.52,55.14,TRENDING,trend_following,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,346.18662000000074,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2145.466,10.1099999999999,0.3478,global_curve
ETHUSDT,SHORT,2026-03-24 19:45:00,2115.76,2141.5204,2056.3129,55.14,TRENDING,trend_following,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,346.2197759999955,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2141.5204,9.907857142857049,0.3478,global_curve
ETHUSDT,LONG,2026-03-24 20:00:00,2119.59,2101.4143,2163.21168,51.66,MIXED,trend_following,False,RegimeGate: DQS 52 < 60 for MIXED,False,,0,REJECTED,0,0,0,346.06532800000446,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2101.4143,9.087857142857047,0.0,
SOLUSDT,LONG,2026-03-24 20:00:00,88.81,87.4334,91.35144,72.78,TRENDING,trend_following,False,CalibrationGate: prob 0.33 < 0.40 (symbol_curve),False,,0,REJECTED,0,0,0,1731.0744999999954,1.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,87.4334,0.42357142857142704,0.3333,symbol_curve
XRPUSDT,LONG,2026-03-24 20:00:00,1.3874,1.374,1.40724,93.18,TRENDING,trend_following,False,CalibrationGate: prob 0.33 < 0.40 (symbol_curve),False,,0,REJECTED,0,0,0,0.0,0.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,1.374,0.00413571428571429,0.3333,symbol_curve
BTCUSDT,LONG,2026-03-24 20:15:00,69973.3,69001.1321,72216.7643,53.58,TRENDING,trend_following,False,CorrelationGuard: BTCUSDT already has open position,False,,0,REJECTED,0,0,0,346.09177240000014,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,69001.1321,299.1285714285706,0.0,
ETHUSDT,SHORT,2026-03-24 20:15:00,2140.72,2162.7643,2074.5871,72.97,MIXED,trend_following,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,1730.9184360000015,1.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2162.7643,11.022142857142788,0.3478,global_curve
BTCUSDT,LONG,2026-03-24 20:30:00,70021.4,69082.1036,72189.0071,53.58,TRENDING,trend_following,False,CorrelationGuard: BTCUSDT already has open position,False,,0,REJECTED,0,0,0,345.6610751999971,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,69082.1036,289.01428571428653,0.0,
ETHUSDT,SHORT,2026-03-24 20:30:00,2148.4,2169.6014,2084.7957,72.97,MIXED,trend_following,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,1731.0943099999938,1.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2169.6014,10.600714285714243,0.3478,global_curve
SOLUSDT,LONG,2026-03-24 20:30:00,89.91,88.3361,93.5421,65.58,TRENDING,trend_following,False,CorrelationGuard: SOLUSDT already has open position,False,,0,REJECTED,0,0,0,1211.745609999996,0.7,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,88.3361,0.4842857142857134,0.0,
BTCUSDT,LONG,2026-03-24 20:45:00,70068.1,69089.4089,72326.6179,53.58,TRENDING,trend_following,False,CorrelationGuard: BTCUSDT already has open position,False,,0,REJECTED,0,0,0,345.4779583000038,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,69089.4089,301.13571428571595,0.0,
ETHUSDT,SHORT,2026-03-24 20:45:00,2147.76,2169.48,2082.6,72.97,MIXED,trend_following,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,1731.0839999999841,1.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2169.48,10.859999999999966,0.3478,global_curve
SOLUSDT,LONG,2026-03-24 20:45:00,90.0,88.3518,93.8036,65.58,TRENDING,trend_following,False,CorrelationGuard: SOLUSDT already has open position,False,,0,REJECTED,0,0,0,1211.756640000002,0.7,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,88.3518,0.5071428571428568,0.0,
BNBUSDT,SHORT,2026-03-24 20:45:00,636.5,640.2857,627.0357,51.67,MIXED,trend_following,False,RegimeGate: DQS 52 < 60 for MIXED,False,,0,REJECTED,0,0,0,346.20226500000183,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,640.2857,1.8928571428571266,0.0,
BTCUSDT,LONG,2026-03-24 21:00:00,69966.1,69022.9964,72142.4929,52.68,TRENDING,trend_following,False,CorrelationGuard: BTCUSDT already has open position,False,,0,REJECTED,0,0,0,346.1190212000008,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,69022.9964,290.18571428571676,0.0,
SOLUSDT,LONG,2026-03-24 21:00:00,89.92,88.6807,93.6379,57.16,MIXED,trend_following,False,RegimeGate: DQS 57 < 60 for MIXED,False,,0,REJECTED,0,0,0,346.13649000000004,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,88.6807,0.49571428571428555,0.0,
BTCUSDT,LONG,2026-03-24 21:15:00,70032.9,69123.0161,72132.6321,52.68,TRENDING,trend_following,False,CorrelationGuard: BTCUSDT already has open position,False,,0,REJECTED,0,0,0,345.75588200000027,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,69123.0161,279.96428571428777,0.0,
SOLUSDT,LONG,2026-03-24 21:15:00,89.97,88.7593,93.6021,57.16,MIXED,trend_following,False,RegimeGate: DQS 57 < 60 for MIXED,False,,0,REJECTED,0,0,0,346.1391300000008,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,88.7593,0.4842857142857134,0.0,
BTCUSDT,LONG,2026-03-24 21:30:00,70251.4,69302.075,72442.15,52.68,TRENDING,trend_following,False,CorrelationGuard: BTCUSDT already has open position,False,,0,REJECTED,0,0,0,345.55429999999893,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,69302.075,292.10000000000167,0.0,
ETHUSDT,SHORT,2026-03-24 21:30:00,2146.8,2173.2717,2085.7114,50.37,TRENDING,trend_following,False,CalibrationGate: prob 0.00 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,345.98511899999477,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2173.2717,10.1814285714286,0.0,global_curve
SOLUSDT,LONG,2026-03-24 21:30:00,90.33,89.0604,94.1389,57.16,MIXED,trend_following,False,RegimeGate: DQS 57 < 60 for MIXED,False,,0,REJECTED,0,0,0,346.21991999999915,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,89.0604,0.5078571428571418,0.0,
BTCUSDT,LONG,2026-03-24 21:45:00,70300.4,69356.5768,72478.4536,52.68,TRENDING,trend_following,False,CorrelationGuard: BTCUSDT already has open position,False,,0,REJECTED,0,0,0,345.4392911999996,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,69356.5768,290.4071428571447,0.0,
ETHUSDT,SHORT,2026-03-24 21:45:00,2147.67,2173.2967,2100.35912,50.37,TRENDING,trend_following,False,CalibrationGate: prob 0.00 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,346.2167169999973,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2173.2967,9.856428571428621,0.0,global_curve
SOLUSDT,LONG,2026-03-24 21:45:00,90.33,88.6771,94.1443,64.68,TRENDING,trend_following,False,CorrelationGuard: SOLUSDT already has open position,False,,0,REJECTED,0,0,0,346.11726000000056,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,88.6771,0.5085714285714269,0.0,
ETHUSDT,SHORT,2026-03-24 22:00:00,2153.81,2179.4404,2106.49232,50.37,TRENDING,trend_following,False,CalibrationGate: prob 0.00 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,346.0104000000001,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,2179.4404,9.85785714285719,0.0,global_curve
SOLUSDT,LONG,2026-03-24 22:00:00,90.62,88.9996,94.3593,74.28,TRENDING,trend_following,False,CorrelationGuard: SOLUSDT already has open position,False,,0,REJECTED,0,0,0,1731.0733200000038,1.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,88.9996,0.49857142857142683,0.0,
XRPUSDT,LONG,2026-03-24 22:15:00,1.4097,1.391,1.4442,74.28,TRENDING,trend_following,False,CorrelationGuard: XRPUSDT already has open position,False,,0,REJECTED,0,0,0,1731.1263199999944,1.0,False,treatment_b_phase2,REJECT,NOT_TRADED,False,98.0,1.391,0.005742857142857113,0.0,
